1, 990.083868, 990.083868, 990.083868, 990.074027, 990.074027, 990.074027, 0.009841, 0.009841, 0.009841
2, 1193.955626, 596.977634, 596.977992, 1134.815357, 559.888914, 574.926443, 59.140269, 37.088720, 22.051549
4, 1637.731763, 409.424835, 409.445731, 1437.590325, 355.900033, 367.475085, 200.141438, 53.524802, 41.970646
8, 3545.574324, 443.189162, 443.205752, 3313.119139, 402.856476, 433.135049, 232.455185, 40.332686, 10.070703
16, 5623.688338, 351.229151, 351.620961, 5028.117713, 272.118835, 347.015565, 595.570624, 79.110316, 4.605396
#GroupSize, sum W-Time, min W-Time, max W-Time, sumMathTime, minMathTime, maxMathTime, sumMpiTime, minMpiTime, maxMpiTime
32, 6688.609452, 208.958265, 209.076194, 6308.062385, 193.929197, 201.248111, 380.547067, 15.029068, 7.828083
#GroupSize, sum W-Time, min W-Time, max W-Time, sumMathTime, minMathTime, maxMathTime, sumMpiTime, minMpiTime, maxMpiTime
64, 14539.271188, 226.910510, 227.411141, 12338.257477, 165.008107, 214.446376, 2201.013710, 61.902403, 12.964766
